Brand,Product Name,Discounted Price,Original Price,Rating,Reviews,Material,Availability,Seller,Product URL
WOMEN MARKS,Checked Purse,₹407,MRP ₹1199,3.3|6 Ratings,6 Ratings,Pu,In Stock,BEST FASHION TRADER,https://www.myntra.com/clutches/women+marks/women-marks-checked-purse-/25041772/buy
WOMEN MARKS,Grey Printed Purse Clutch,₹419,MRP ₹1199,N/A,N/A,PU,In Stock,BEST FASHION TRADER,https://www.myntra.com/clutches/women+marks/women-marks-grey-printed-purse-clutch/17451700/buy
Bag Pepper,Abstract Printed Zip Detail Wallet,₹499,MRP ₹738,N/A,N/A,Material Type :- Cotton jute fabric,In Stock,BAG STATION,https://www.myntra.com/clutches/bag+pepper/bag-pepper-abstract-printed-zip-detail-wallet/28667416/buy
Spice Art,Women White & Grey Embroidered Coin Pouch,₹499,MRP ₹799,N/A,N/A,Synthetic leather,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-women-white--grey-embroidered-coin-pouch-/17242962/buy
Spice Art,Stylish Pink & Tan Brown Embroidered Coin Pouch,₹499,MRP ₹799,N/A,N/A,pu,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-stylish-pink--tan-brown-embroidered-coin-pouch/12546538/buy
Spice Art,Women Pink & Black Colourblocked Coin Purse,₹499,MRP ₹799,N/A,N/A,PU,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-women-pink--black-colourblocked-coin-purse/12546536/buy
Spice Art,Women Black Embroidered Coin Pouch,₹499,MRP ₹799,4.7|10 Ratings,10 Ratings,PU,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-women-black-embroidered-coin-pouch/12546534/buy
Spice Art,Women Tan Brown Colourblocked Coin Purse,₹499,MRP ₹799,4.2|6 Ratings,6 Ratings,PU,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-women-tan-brown-colourblocked-coin-purse/12546532/buy
Spice Art,Women Black & Brown Colourblocked Pouch,₹499,MRP ₹799,N/A,N/A,PU,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-women-black--brown-colourblocked-pouch/12546528/buy
FRINGES,Embellished Purse,₹499,MRP ₹999,N/A,N/A,Fabric,In Stock,M/S VASUNDHARA INTERNATIONAL,https://www.myntra.com/clutches/fringes/fringes-embellished-purse/23560872/buy
Bagsy Malone,Women Zip Detail Purse Clutch,₹499,MRP ₹2499,N/A,N/A,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-women-zip-detail-purse-clutch/22224036/buy
Bagsy Malone,Pink Textured Purse Clutch,₹499,MRP ₹2999,4.4|26 Ratings,26 Ratings,PU.,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-pink-textured-purse-clutch/19707044/buy
MANGO,Croc Textured Purse,₹521,MRP ₹1490,4.4|38 Ratings,38 Ratings,PU,In Stock,Savadika Retail Private Limited,https://www.myntra.com/clutches/mango/mango-croc-textured-purse-/21812426/buy
Colorbar,Women Printed Purse Clutch,₹524,MRP ₹699,N/A,N/A,Canvas,In Stock,Colorbar cosmetics Pvt Ltd,https://www.myntra.com/clutches/colorbar/colorbar-women-printed-purse-clutch/21567598/buy
DRASTR,Embroidered Purse Clutch,₹527,MRP ₹1599,N/A,N/A,Fabric,In Stock,FASTCLASS,https://www.myntra.com/clutches/drastr/drastr-embroidered-purse-clutch/29820090/buy
gaura pakhi,Black & Gold-Toned Embroidered Purse Clutch,₹527,MRP ₹1599,4.3|170 Ratings,170 Ratings,Fabric,In Stock,GAURAPAKHI HANDLOOMS,https://www.myntra.com/clutches/gaura+pakhi/gaura-pakhi-black--gold-toned-embroidered-purse-clutch/16026588/buy
DRASTR,Embellished Purse Clutch,₹527,MRP ₹2199,4.2|5 Ratings,5 Ratings,Fabric,In Stock,FASTCLASS,https://www.myntra.com/clutches/drastr/drastr-embellished-purse-clutch/29820112/buy
Kuber Industries,Embroidered Purse Clutche,₹535,MRP ₹799,N/A,N/A,Fabric,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-embroidered-purse-clutche/25566178/buy
Kuber Industries,Embroidered Purse Clutche,₹535,MRP ₹799,N/A,N/A,Fabric,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-embroidered-purse-clutche/25566174/buy
Kuber Industries,Embroidered Purse Clutche,₹535,MRP ₹799,2.6|7 Ratings,7 Ratings,Fabric,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-embroidered-purse-clutche/25566158/buy
GRAADA,Stylish Fringed Purse Clutch,₹549,MRP ₹2199,N/A,N/A,Synthetic leather,In Stock,MS TRADERS,https://www.myntra.com/clutches/graada/graada-stylish-fringed-purse-clutch/32401649/buy
gaura pakhi,Embroidered Wrist Loop Purse,₹549,MRP ₹2199,N/A,N/A,Fabric,In Stock,GAURAPAKHI HANDLOOMS,https://www.myntra.com/clutches/gaura+pakhi/gaura-pakhi-embroidered-wrist-loop-purse/24494140/buy
gaura pakhi,Embellished Purse Clutch,₹549,MRP ₹2199,4|23 Ratings,23 Ratings,Fabric,In Stock,GAURAPAKHI HANDLOOMS,https://www.myntra.com/clutches/gaura+pakhi/gaura-pakhi-embellished-purse-clutch/24494122/buy
JENNA,Shoulder Strap Embellished Purse Clutch,₹583,MRP ₹799,2.8|8 Ratings,8 Ratings,PU,In Stock,TK International,https://www.myntra.com/clutches/jenna/jenna-shoulder-strap-embellished-purse-clutch/23366192/buy
JENNA,Shoulder Strap Embellished Purse Clutch,₹583,MRP ₹799,3.8|9 Ratings,9 Ratings,PU,In Stock,TK International,https://www.myntra.com/clutches/jenna/jenna-shoulder-strap-embellished-purse-clutch/23366190/buy
